"uang_saku","tempat_tinggal","uang_saku_numeric","tempat_tinggal_group"
"500k s.d 1 jt","Asrama",750000,"Asrama"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"1 jt s.d 1,5 jt","Tinggal besama orangtua",1250000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Tinggal besama orangtua",1250000,"Rumah"
"1 jt s.d 1,5 jt","Tinggal besama orangtua",1250000,"Rumah"
"500k s.d 1 jt","Asrama",750000,"Asrama"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
"1 jt s.d 1,5 jt","Tinggal besama orangtua",1250000,"Rumah"
"500k s.d 1 jt","Asrama",750000,"Asrama"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Asrama",750000,"Asrama"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Asrama",750000,"Asrama"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Rumah mengontrak Pribadi",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Rumah mengontrak Pribadi",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"> 2 jt","Kos",2500000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Tinggal besama orangtua",1250000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"> 2 jt","Kos",2500000,"Kos"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
"500k s.d 1 jt","Rumah mengontrak Pribadi",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Rumah mengontrak Pribadi",750000,"Rumah"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"500k s.d 1 jt","Kos",750000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"1 jt s.d 1,5 jt","Kos",1250000,"Kos"
"500k s.d 1 jt","Tinggal besama orangtua",750000,"Rumah"
"1,5 jt s.d 2 jt","Kos",1750000,"Kos"
